id,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,year,state,zip_code,school_type,school_level,average_act
130402002188,-0.07516600182435616,-0.35983745223482566,0.5788110398149887,0.42361287696322386,-0.568264950545226,2016-2017,GA,30157,Regular School,High,20.030525030525
551038001360,0.0730244633306249,0.026081069947199005,0.09150566076897781,-0.3540353506027496,-0.6444927388584799,2016-2017,WI,54457,Regular School,High,21.4
530066000139,0.5290840917561995,0.2448565167286237,0.10340833587503108,-0.6458099673867622,0.4348738153730677,2016-2017,WA,98337,Regular School,High,21.1782661782662
421824003107,-0.09557579143886548,-0.8582608530441425,-0.15837970997034667,-0.312794532093078,-0.35673107410305055,2016-2017,PA,16729,Regular School,High,20.8119658119658
360007705764,-0.6021492206886685,2.330111667915803,1.1235736018818103,2.9169709863136415,1.378197364731432,2016-2017,NY,10004,Regular School,High,17.3931623931624
360008805803,1.0411583657502481,-0.17163646508633065,-2.2836119172566334,-0.7021195465057368,2.2155855840171332,2016-2017,NY,10466,Regular School,High,15.7326007326007
130225000961,-0.2092350084608587,-1.4452122800350484,0.44825950050993163,-0.49090644766065766,0.1492858766630058,2016-2017,GA,30521,Regular School,High,20.3479853479853
251020002597,-0.6000222598737178,1.146439141650604,0.8943249552410735,0.9650864576387905,-1.186442039582329,2016-2017,MA,01966,Regular School,High,23.1074481074481
420297000050,-0.7562866183529664,-0.13814121382716682,0.1006755863233485,-0.18615015622430917,-0.6740602202377892,2016-2017,PA,15236,Regular School,High,20.9096459096459
390481703140,-0.46163185721913225,0.10395421351898221,-0.08645018441838553,0.29588321639683207,-0.7998589298896733,2016-2017,OH,44044,Regular School,High,22.0
390440901028,-0.08473173545164012,-0.2437322382578225,-0.6904303013749808,-0.7077546785895482,-0.3802208083995859,2016-2017,OH,45331,Regular School,High,22.0
470014801027,3.25683986737059,-1.5650682622778687,-2.011710554750549,-1.534407684425111,2.124934182038821,2016-2017,TN,38109,Regular School,Not reported,13.5
262601006255,0.39067540428359965,0.10730319913166157,0.1217912333847515,-0.4003269171282818,-0.385784915950404,2016-2017,MI,49201,Regular School,High,19.0
550960003370,1.2820115287157123,-0.5396543696212378,-1.1664758528247647,-0.7620606551898345,1.668522196310269,2016-2017,WI,53223,Regular School,High,12.8
470006000235,-0.015690853847497417,-0.3992582290437065,0.09163246082726856,-0.2857876398099226,-0.35310241119399066,2016-2017,TN,37701,Regular School,High,22.0
550675000733,-0.10247485030838686,0.19483338535710618,-0.8151288449037735,-0.6056961752938529,-0.27822642925781327,2016-2017,WI,54534,Regular School,Other,21.5
263003006588,-0.21305179939467994,1.0656148371490695,1.1702112818579402,0.31821503613638097,-1.496287620210076,2016-2017,MI,49341,Regular School,High,22.2
421929003210,0.6405426208523755,0.10722911314669988,0.05344558451553446,0.47261765523281335,-0.4484090844026394,2016-2017,PA,18322,Regular School,High,21.3247863247863
291614000745,-0.687195607512848,-0.4058346720389548,-0.3407641124617094,-0.4648178731985678,-0.07954928961101142,2016-2017,MO,64755,Regular School,High,20.1
262184005882,-0.45375818194599776,0.5465876722600165,0.32941632720910635,0.5525947891037959,-0.7134445402377246,2016-2017,MI,48150,Regular School,High,20.1
420759004801,-0.4213663170374781,0.9864404238058283,0.01224153544202417,-0.014591690561606495,-1.3081336605151228,2016-2017,PA,17033,Regular School,High,24.8901098901099
130129002365,0.21256532119753205,0.9535297562360426,0.8768452303951789,1.149125697324157,-0.695578337506987,2016-2017,GA,30152,Regular School,High,23.3760683760684
180005802315,0.4418155318668882,0.7463365368014264,0.8113719681652668,-0.9848779519556512,-0.6916627406288428,2016-2017,IN,46202,Regular School,High,21.8888888888889
360010205735,-0.5072560733876418,-0.3464939125303821,1.3545492570090478,0.10975689075449843,-0.4479133289063485,2016-2017,NY,11106,Regular School,High,27.5274725274725
390482503176,-0.024232514818625362,-0.6378229263763062,0.6431503638269325,0.018175558962778324,0.7321591730382324,2016-2017,OH,43162,Regular School,High,20.0
550600000661,-0.7317949153799286,0.8427804204061367,1.1510308206513362,-0.03754963608824554,-0.9611790967936908,2016-2017,WI,53228,Regular School,High,22.2
290708000182,-0.6215333047018933,-0.07095985026191687,0.15968373920000323,-0.4800953424035676,-0.6330070357699566,2016-2017,MO,63435,Regular School,High,20.9
181137001839,-0.9786313471830431,-1.5577342105029661,0.6264845236268457,0.41902128785789605,-0.003257876492426551,2016-2017,IN,46910,Regular School,High,20.1135531135531
261242004943,0.2341134432117384,0.5882708899515957,0.32184843073623065,-0.04881990025586834,-1.0024739092493486,2016-2017,MI,48079,Regular School,High,21.4
180498000914,0.23800681831412632,-0.8278146672231159,-0.4727700267679149,-0.7307543658353266,-0.2699705283515533,2016-2017,IN,47371,Regular School,High,19.7912087912088
390477402961,-0.7645100765871314,-0.8939150014764539,-0.06912405851955693,0.19991900409548086,0.3614314239077047,2016-2017,OH,44826,Regular School,High,21.0
120126001277,1.2558570265513846,-0.840156181161688,-1.2492144013759752,-1.05554668245856,0.056145730099489824,2016-2017,FL,34475,Regular School,High,23.5470085470085
181110001797,-0.4072325546781273,0.3961200387471767,-0.15502006922664557,-0.3820023024261099,-0.7056850042597481,2016-2017,IN,46703,Regular School,High,21.9157509157509
481239000732,-0.9991288343849082,-0.25872510397397314,0.4200723245689835,0.39489457419535534,-0.8092121031468109,2016-2017,TX,75135,Regular School,High,22.3992673992674
483444003863,-1.2542059838521271,1.0400709562501496,0.6907090146383049,1.505558237055013,-0.9198451960211779,2016-2017,TX,77581,Regular School,High,21.2515262515263
483483007467,-0.8860420529227064,0.6852925060403313,-0.21513345022264196,0.32209701601633994,0.5735750207687248,2016-2017,TX,78753,Regular School,High,19.2979242979243
390454902244,-0.9176349219081857,0.5266375801885399,1.1122869367662935,0.8434928297858822,-1.100047363780544,2016-2017,OH,44060,Regular School,High,23.0
421758000747,-0.5691317190925398,-1.2031626741583838,0.7285619206745921,0.005611301501835864,-0.4494523375023973,2016-2017,PA,16659,Regular School,Other,20.5433455433455
340399000340,-0.6963986664946021,0.5131879179278097,1.6009969546887541,2.059971750663776,-1.4439341363691427,2016-2017,NJ,07628,Regular School,High,22.1306471306471
370462001806,-0.14471017852685283,-0.34566344601766014,-0.07533650316744751,-0.4114719561384865,-1.0184317092679414,2016-2017,NC,28112,Regular School,High,22.1794871794872
180936001529,-0.024570347833760504,-1.2028077467181375,1.0479107711918965,-0.34844196023807755,-0.5755035620007026,2016-2017,IN,47946,Regular School,High,21.2466422466422
470408001692,3.321836791643405,-1.680745367023838,-2.294047306246452,-1.196174534239009,0.9437318216737582,2016-2017,TN,38019,Regular School,High,18.8
173402003496,-0.4062010791471239,1.5240041836275895,0.576156218156164,1.188613363629976,-1.0486647690813453,2016-2017,IL,60546,Regular School,High,23.3
360008805684,0.8071511382196828,0.5155552832860861,-2.374358401883219,-0.1888633679683665,2.430680682743776,2016-2017,NY,10467,Regular School,High,16.3431013431013
261245004950,0.20674029905623995,0.46784134193376736,-1.8151234157167804,-0.642512371574754,1.426279957193938,2016-2017,MI,48021,Regular School,High,15.6
480967007664,1.5125346547430993,-0.9087434836909709,-1.9158879051589175,-1.3741612246491706,1.1701605676909053,2016-2017,TX,77705,Regular School,High,16.9047619047619
481591008040,-0.7536367369878357,0.6476525862241401,-0.271653862191468,1.0348368703206339,-0.056014298523727815,2016-2017,TX,76123,Regular School,High,19.7863247863248
341671005422,0.13073463361144208,0.3067766267282237,1.0485183892964043,1.869295577635254,-1.3568653777133906,2016-2017,NJ,07462,Regular School,High,22.1306471306471
550960002822,-1.391833009369824,1.7584080350736564,0.7624535384374357,1.1476229954351407,1.130305530924728,2016-2017,WI,53204,Regular School,High,16.3
250005101247,-0.25299404336121256,1.0813596430008756,1.0876187409087585,0.2868670050627338,0.3900100581411825,2016-2017,MA,01606,Regular School,Other,20.5677655677656
370462001792,0.6115777608965516,-0.523259696982656,-0.05879831083537709,-0.3525743904328726,0.5715372403158553,2016-2017,NC,28103,Regular School,High,18.4188034188034
